,Short Percent of Float,Short % Increase / Decrease,% Owned by Insiders,% Owned by Institutions,Trading Volume - Today,Trading Volume - Average,Short Interest Ratio (Days To Cover)
MMM,NAN,7.0,0.19,66.53,1669818.0,1669818.0,2.9
ABT,NAN,-10.0,0.69,75.58,5795319.0,5795319.0,1.8
ABBV,NAN,-6.0,0.1,70.0,7229118.0,7229118.0,1.5
ABMD,5.0,5.0,2.33,97.47,255127.0,255127.0,7.3
ACN,NAN,-5.0,0.08,74.38,1483014.0,1483014.0,2.1
ATVI,1.16,-16.0,1.22,89.98,16849373.0,16849373.0,1.3
ADBE,0.9,-5.0,0.31,86.1,1638527.0,1638527.0,1.6
AMD,NAN,18.0,0.62,73.87,29648218.0,29648218.0,1.5
AAP,4.44,7.0,NAN,NAN,863709.0,863709.0,3.0
AES,1.99,4.0,NAN,NAN,4315742.0,4315742.0,2.2
AFL,1.2,22.0,8.69,61.63,4635519.0,4635519.0,1.9
A,0.74,-9.0,0.32,90.07,1917191.0,1917191.0,1.3
APD,0.79,49.0,0.28,88.1,3166338.0,3166338.0,1.3
AKAM,5.21,-18.0,2.12,93.55,1276340.0,1276340.0,4.7
ALK,2.62,-41.0,0.46,75.7,1146434.0,1146434.0,1.6
ALB,NAN,1.0,0.32,89.72,4940189.0,4940189.0,2.8
ALXN,1.78,5.0,0.28,93.36,2205503.0,2205503.0,1.5
ALGN,1.89,1.0,7.94,89.51,653234.0,653234.0,2.3
ALLE,3.08,-5.0,0.36,98.93,1395730.0,1395730.0,4.1
LNT,NAN,6.0,0.12,75.7,774329.0,774329.0,1.9
ALL,1.14,-7.0,0.43,80.53,1731051.0,1731051.0,1.9
GOOGL,NAN,-2.0,0.12,80.25,1478521.0,1478521.0,1.4
GOOG,0.74,20.0,5.86,68.1,1518131.0,1518131.0,1.3
MO,0.68,-25.0,0.11,63.1,6065374.0,6065374.0,1.3
AMZN,0.73,-5.0,14.56,58.66,3577763.0,3577763.0,0.8
AMCR,1.59,-6.0,0.21,37.36,6151350.0,6151350.0,4.5
AEE,1.8,-22.0,0.44,76.64,1183350.0,1183350.0,2.8
AAL,NAN,-11.0,0.93,45.42,30357983.0,30357983.0,2.0
AEP,NAN,-3.0,0.01,76.78,1579136.0,1579136.0,2.5
AXP,0.86,10.0,0.1,86.88,3180085.0,3180085.0,1.6
AIG,1.35,6.0,0.05,92.27,3863430.0,3863430.0,2.1
AMT,NAN,-17.0,0.27,93.09,1585567.0,1585567.0,1.8
AMP,1.65,-2.0,0.2,87.14,454273.0,454273.0,2.9
ABC,2.06,15.0,28.05,67.12,1829210.0,1829210.0,2.6
AME,NAN,16.0,0.44,88.44,2011075.0,2011075.0,1.8
AMGN,1.21,1.0,0.19,77.99,2224348.0,2224348.0,2.8
